number;panSizeRange.min;panSizeRange.max;funding;product.id;product.name;product.image.url;product.image.width;product.image.height;product.image.mimeType;product.url;issuer.code;issuer.name;country;isInternational;regexp;isCompany;isToken;is3DS;brand.id;brand.name;brand.image.url;brand.image.width;brand.image.height;brand.image.mimeType;brand.url;allowedCaptures;usages;network.id;network.name;network.image.url;network.image.width;network.image.height;network.image.mimeType;network.url;metadata.image.url;metadata.image.width;metadata.image.height;metadata.image.mimeType;metadata.backgroundColor;metadata.foregroundColor;metadata.issuer;metadata.brand;metadata.product;services
"509495";16;16;"PREPAID";"4c08441b-bc9d-4ce7-b6b9-3f684b5fd418";"Despesas Corporativas";"";"";"";"";null;"";"";"BRL";false;"^509495$";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"509734";16;16;"MULTIPLE";"a0da8cba-1749-4314-ac1b-c97e0d3f5382";"Empresarial";"";"";"";"";null;"";"";"BRL";false;"^509734$";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"509748";16;16;"MULTIPLE";"a0da8cba-1749-4314-ac1b-c97e0d3f5382";"Empresarial";"";"";"";"";null;"";"";"BRL";false;"^509748$";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"509763";16;16;"MULTIPLE";"a0da8cba-1749-4314-ac1b-c97e0d3f5382";"Empresarial";"";"";"";"";null;"";"";"BRL";false;"^509763$";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"509642";16;16;"MULTIPLE";"9e08c61c-9f4e-468e-81c8-a087f7dd2bc1";"Empresarial Grafite";"";"";"";"";null;"";"";"BRL";false;"^509642$";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"509656";16;16;"MULTIPLE";"9e08c61c-9f4e-468e-81c8-a087f7dd2bc1";"Empresarial Grafite";"";"";"";"";null;"";"";"BRL";false;"^509656$";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"509672";16;16;"MULTIPLE";"9e08c61c-9f4e-468e-81c8-a087f7dd2bc1";"Empresarial Grafite";"";"";"";"";null;"";"";"BRL";false;"^509672$";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"509316";16;16;"PREPAID";"fdf583e6-8fb1-4d5e-9ee9-830d96d1094a";"Gift Card";"";"";"";"";null;"";"";"BRL";false;"^509316$";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"509339";16;16;"PREPAID";"fdf583e6-8fb1-4d5e-9ee9-830d96d1094a";"Gift Card";"";"";"";"";null;"";"";"BRL";false;"^509339$";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"509353";16;16;"PREPAID";"fdf583e6-8fb1-4d5e-9ee9-830d96d1094a";"Gift Card";"";"";"";"";null;"";"";"BRL";false;"^509353$";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"655028";16;16;"CREDIT";"7f15fb69-e9ba-4c60-a669-ef6cb1f2bdfc";"Corporativo Nanquim Diners";"";"";"";"";null;"";"";"";true;"^655028$";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"655042";16;16;"MULTIPLE";"2c211858-caae-45ee-aa0c-6ddd4590c543";"Grafite";"";"";"";"";null;"";"";"BRL";true;"^655042$";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
